application_id,gender,international,gpa,major,race,gmat,work_exp,work_industry,admission
1,Female,False,3.0,STEM,White,650.0,2.0,Other,Admit
2,Female,False,3.01,STEM,White,570.0,2.0,Consulting,Admit
3,Female,True,3.44,Business,,590.0,1.0,Consulting,Admit
4,Female,True,3.05,Business,,680.0,1.0,Technology,Admit
5,Female,False,3.1,Humanities,Hispanic,670.0,0.0,,Waitlist
6,Male,True,3.54,Business,,740.0,1.0,Technology,
7,Female,False,3.41,STEM,Hispanic,710.0,3.0,Nonprofit/Gov,Admit
8,Female,True,3.58,STEM,,740.0,2.0,PE/VC,Admit
9,Male,False,3.56,Business,White,680.0,2.0,Other,Admit
10,Male,False,3.16,Humanities,White,570.0,3.0,Consulting,Admit
11,Male,False,3.41,STEM,Asian,660.0,3.0,Other,Waitlist
12,Male,False,3.26,Business,Black,600.0,2.0,PE/VC,
13,Female,False,3.06,Humanities,Asian,570.0,1.0,Consulting,Admit
14,Male,False,3.12,Humanities,White,670.0,3.0,PE/VC,Admit
15,Male,True,3.2,Humanities,,630.0,2.0,Technology,
16,Male,False,3.13,Humanities,Hispanic,610.0,2.0,Consulting,
17,Male,False,3.31,STEM,Hispanic,630.0,4.0,Nonprofit/Gov,
18,Female,True,3.62,STEM,,690.0,1.0,PE/VC,Admit
19,Male,True,3.36,Business,,650.0,3.0,Investment Banking,
20,Male,False,3.04,Humanities,Black,650.0,4.0,Consulting,
21,Female,False,3.24,Humanities,Asian,660.0,1.0,Investment Management,Admit
22,Male,True,3.31,Business,,720.0,2.0,Consulting,
23,Male,False,3.4,Humanities,Black,690.0,1.0,Consulting,
24,Female,False,3.13,STEM,White,610.0,1.0,Nonprofit/Gov,Admit
25,Male,False,3.31,Humanities,Asian,690.0,5.0,Nonprofit/Gov,Waitlist
26,Female,False,3.35,Humanities,Asian,740.0,4.0,Health Care,Admit
27,Male,True,3.22,Humanities,,620.0,2.0,Health Care,
28,Male,False,3.3,Humanities,Black,580.0,2.0,PE/VC,
29,Male,False,3.22,STEM,Asian,660.0,2.0,Nonprofit/Gov,Waitlist
30,Male,False,3.21,Business,Black,630.0,1.0,Investment Banking,
31,Male,False,3.18,STEM,Other,660.0,1.0,PE/VC,Admit
32,Female,True,3.54,Business,,650.0,-0.0,,Admit
33,Male,False,3.18,Humanities,Black,660.0,3.0,Other,
34,Female,False,3.28,Business,White,690.0,1.0,PE/VC,Admit
35,Male,False,3.28,Humanities,Asian,660.0,3.0,Consulting,Waitlist
36,Female,False,3.25,Business,White,700.0,4.0,Investment Banking,Admit
37,Female,True,3.35,Humanities,,680.0,2.0,Health Care,Admit
38,Male,True,3.12,Humanities,,580.0,1.0,Consulting,
39,Male,True,3.34,Humanities,,640.0,-1.0,,
40,Male,False,3.15,Humanities,White,600.0,1.0,Investment Banking,Admit
41,Male,True,3.15,STEM,,610.0,2.0,Nonprofit/Gov,
42,Male,True,3.16,Business,,650.0,2.0,Technology,
43,Male,False,3.07,STEM,White,680.0,3.0,Technology,Admit
44,Male,True,3.22,STEM,,690.0,2.0,Consulting,
45,Female,False,3.28,Humanities,Other,640.0,1.0,Financial Services,Admit
46,Male,False,3.28,Humanities,Hispanic,650.0,2.0,Technology,
47,Female,False,3.13,Humanities,Hispanic,670.0,3.0,Consulting,
48,Male,True,3.21,STEM,,640.0,0.0,,
49,Female,False,2.98,Business,Asian,600.0,1.0,Consulting,Admit
50,Male,False,3.14,Humanities,Asian,620.0,2.0,PE/VC,Waitlist
51,Female,True,3.18,Business,,670.0,1.0,Financial Services,Admit
52,Female,False,3.25,Humanities,Black,710.0,3.0,Consulting,Admit
53,Female,False,3.26,Business,Black,650.0,1.0,PE/VC,Admit
54,Female,True,3.23,Humanities,,720.0,1.0,Real Estate,Admit
55,Male,False,3.12,Business,Asian,650.0,1.0,Financial Services,
56,Male,True,3.34,Humanities,,700.0,2.0,Technology,
57,Female,True,3.14,Humanities,,570.0,4.0,Investment Banking,Admit
58,Male,False,3.3,STEM,Black,680.0,0.0,,
59,Male,True,3.24,STEM,,650.0,2.0,Health Care,
60,Male,False,3.24,Humanities,Black,650.0,4.0,Consulting,
61,Female,False,3.23,STEM,Black,610.0,3.0,Consulting,Admit
62,Male,True,3.2,Humanities,,580.0,4.0,Other,
63,Female,False,3.34,Business,Asian,710.0,0.0,,Admit
64,Female,False,3.42,Business,Hispanic,640.0,2.0,Real Estate,
65,Male,True,3.28,STEM,,650.0,3.0,Other,
66,Male,True,3.05,Humanities,,630.0,1.0,Consulting,
67,Male,False,3.24,Humanities,Asian,650.0,4.0,Financial Services,
68,Male,False,3.31,Business,Hispanic,670.0,2.0,Consulting,
69,Female,False,3.43,Business,Black,630.0,1.0,Investment Banking,Admit
70,Female,True,3.26,Business,,660.0,3.0,PE/VC,Admit
71,Male,False,3.07,Humanities,White,600.0,2.0,Health Care,Admit
72,Male,False,3.07,Humanities,Black,570.0,4.0,Consulting,
73,Female,False,3.24,STEM,Hispanic,690.0,4.0,Investment Banking,Admit
74,Male,True,3.07,STEM,,640.0,3.0,Technology,
75,Male,False,3.31,Humanities,Asian,700.0,1.0,PE/VC,
76,Female,False,3.07,STEM,White,600.0,2.0,PE/VC,Admit
77,Male,False,3.12,Business,White,600.0,0.0,,Waitlist
78,Male,False,3.1,Business,White,660.0,3.0,Other,Waitlist
79,Male,False,3.42,Business,Hispanic,740.0,3.0,Technology,Admit
80,Male,False,3.14,STEM,White,630.0,3.0,Investment Management,Waitlist
81,Female,True,3.28,STEM,,710.0,3.0,PE/VC,Admit
82,Male,False,3.29,Humanities,Hispanic,600.0,2.0,PE/VC,
83,Male,False,3.3,STEM,Black,680.0,3.0,Nonprofit/Gov,
84,Female,True,3.15,Business,,590.0,1.0,Consulting,Admit
85,Male,False,3.33,Business,Black,710.0,3.0,Media/Entertainment,
86,Male,False,3.1,Humanities,Hispanic,610.0,2.0,PE/VC,
87,Female,False,3.33,STEM,Asian,630.0,3.0,Technology,Admit
88,Female,False,3.12,Humanities,Asian,630.0,2.0,Nonprofit/Gov,Admit
89,Male,False,3.41,Business,Black,640.0,2.0,Consulting,
90,Female,False,3.12,STEM,Black,660.0,1.0,PE/VC,Admit
91,Male,False,3.07,Humanities,Hispanic,640.0,0.0,,
92,Female,False,3.24,STEM,White,610.0,2.0,Consulting,Admit
93,Male,False,3.33,STEM,Black,680.0,2.0,Technology,
94,Female,True,3.05,STEM,,580.0,2.0,Other,Admit
95,Female,False,3.23,Business,White,650.0,2.0,Investment Banking,Admit
96,Female,False,3.16,Business,White,570.0,-0.0,,Admit
97,Male,True,3.05,Business,,640.0,2.0,Nonprofit/Gov,
98,Male,True,3.13,Humanities,,610.0,1.0,Investment Banking,
99,Female,False,3.23,Humanities,Asian,580.0,3.0,Nonprofit/Gov,Admit
100,Male,True,3.52,STEM,,610.0,2.0,Investment Banking,
101,Female,False,3.38,Humanities,Hispanic,740.0,2.0,Health Care,
102,Male,True,3.14,STEM,,600.0,3.0,Consulting,
103,Female,True,3.28,STEM,,580.0,2.0,Nonprofit/Gov,Admit
104,Male,True,3.26,Humanities,,650.0,2.0,PE/VC,
105,Male,True,3.16,STEM,,570.0,3.0,Consulting,
106,Male,False,3.26,Humanities,Hispanic,640.0,-0.0,,
107,Male,False,3.13,Humanities,Black,620.0,4.0,Financial Services,
108,Male,True,3.46,Business,,700.0,1.0,Nonprofit/Gov,
109,Male,True,3.38,Business,,650.0,3.0,Consulting,
110,Male,False,3.37,Humanities,Black,720.0,1.0,Nonprofit/Gov,
111,Female,True,3.32,Humanities,,710.0,2.0,PE/VC,Admit
112,Female,False,2.95,Humanities,Hispanic,570.0,2.0,Investment Banking,
113,Female,False,3.23,STEM,Black,640.0,2.0,Investment Banking,Admit
114,Male,False,3.05,Humanities,Black,620.0,0.0,,
115,Female,True,3.34,STEM,,570.0,2.0,Technology,Admit
116,Female,False,3.2,STEM,Other,630.0,2.0,Financial Services,Admit
117,Female,False,3.21,Humanities,Asian,620.0,3.0,Technology,Admit
118,Male,False,2.87,Business,Asian,590.0,3.0,Consulting,
119,Male,False,3.39,Humanities,White,670.0,2.0,Consulting,Waitlist
120,Female,False,3.05,STEM,Hispanic,580.0,5.0,Technology,
121,Male,False,3.45,Business,Black,650.0,3.0,Other,
122,Female,False,3.38,STEM,Other,640.0,1.0,Other,Admit
123,Male,True,3.37,Humanities,,660.0,2.0,Consulting,Waitlist
124,Male,True,3.37,STEM,,690.0,2.0,Consulting,
125,Male,False,3.51,Humanities,Asian,650.0,1.0,Other,
126,Female,False,3.4,Business,Asian,680.0,2.0,Consulting,Admit
127,Male,False,3.17,Humanities,White,610.0,3.0,Investment Banking,Waitlist
128,Male,False,3.11,Business,Hispanic,620.0,4.0,PE/VC,
129,Male,True,2.98,Humanities,,640.0,3.0,Financial Services,
130,Male,False,3.11,Humanities,Asian,610.0,2.0,Technology,
131,Male,False,3.29,Humanities,Asian,660.0,2.0,Consulting,
132,Female,False,3.07,Humanities,White,640.0,1.0,Consulting,Admit
133,Female,False,3.12,STEM,Hispanic,610.0,3.0,Nonprofit/Gov,
134,Female,True,2.98,STEM,,610.0,2.0,Health Care,Admit
135,Male,True,3.16,Business,,730.0,0.0,,
136,Female,False,3.17,Business,Black,630.0,2.0,PE/VC,Waitlist
137,Female,True,3.37,STEM,,710.0,3.0,Investment Banking,Admit
138,Female,False,3.06,Business,Asian,570.0,3.0,Nonprofit/Gov,Admit
139,Male,False,3.24,Business,Black,650.0,1.0,Investment Banking,
140,Female,False,3.28,Business,White,670.0,2.0,Financial Services,Admit
141,Male,False,3.33,Business,Asian,670.0,3.0,Nonprofit/Gov,Admit
142,Female,False,3.35,Business,White,660.0,2.0,Consulting,Admit
143,Female,False,3.35,Business,Asian,620.0,0.0,,Admit
144,Female,False,3.14,Humanities,Black,640.0,1.0,Consulting,Waitlist
145,Female,True,3.17,STEM,,610.0,1.0,Consulting,Admit
146,Female,False,3.17,Humanities,Black,590.0,1.0,Consulting,Waitlist
147,Female,True,3.37,Business,,680.0,2.0,PE/VC,Admit
148,Male,False,2.98,Business,White,620.0,1.0,Investment Management,Waitlist
149,Female,False,3.34,STEM,Black,630.0,2.0,Real Estate,Waitlist
150,Male,False,3.2,Business,White,680.0,2.0,Investment Banking,Waitlist
151,Male,True,2.98,STEM,,600.0,3.0,Consulting,
152,Male,False,3.2,Humanities,Asian,620.0,3.0,Health Care,
153,Male,False,3.22,Business,Black,610.0,1.0,Investment Banking,
154,Male,True,3.25,STEM,,600.0,2.0,Investment Banking,
155,Male,False,3.25,Humanities,Asian,570.0,2.0,PE/VC,
156,Female,False,3.24,STEM,Hispanic,700.0,2.0,PE/VC,
157,Male,True,3.51,Humanities,,730.0,4.0,Health Care,
158,Female,False,3.04,STEM,Other,570.0,3.0,Financial Services,Admit
159,Female,False,2.99,Business,Black,570.0,3.0,Health Care,Waitlist
160,Male,False,3.07,STEM,Asian,630.0,3.0,CPG,
161,Male,False,3.6,STEM,Asian,690.0,-1.0,,Admit
162,Female,False,3.29,Humanities,Black,650.0,2.0,Other,
163,Female,False,3.37,Business,Hispanic,640.0,1.0,Other,
164,Male,False,3.17,Humanities,White,630.0,2.0,Consulting,Waitlist
165,Male,False,3.34,STEM,Black,730.0,1.0,Nonprofit/Gov,
166,Male,True,3.31,Humanities,,730.0,1.0,Investment Management,
167,Male,False,3.16,Humanities,White,590.0,1.0,Retail,Waitlist
168,Male,False,3.21,STEM,White,620.0,1.0,Consulting,Waitlist
169,Female,False,3.15,Humanities,White,650.0,0.0,,Admit
170,Male,False,2.74,STEM,Asian,570.0,3.0,Financial Services,
171,Male,False,3.26,STEM,Hispanic,710.0,2.0,Consulting,
172,Male,False,3.14,Humanities,Black,670.0,5.0,Technology,
173,Female,True,3.24,Humanities,,740.0,2.0,Other,Admit
174,Male,False,3.2,Humanities,Black,700.0,3.0,Investment Banking,
175,Male,False,2.96,Business,Asian,580.0,2.0,Technology,
176,Male,False,3.27,Business,White,690.0,4.0,Other,Admit
177,Male,False,3.6,Humanities,White,780.0,2.0,Investment Management,Admit
178,Male,True,3.47,STEM,,690.0,2.0,PE/VC,
179,Male,True,3.21,Business,,650.0,2.0,Consulting,
180,Male,False,3.11,Humanities,White,610.0,2.0,Investment Banking,Waitlist
181,Male,True,2.88,Humanities,,590.0,1.0,Nonprofit/Gov,
182,Female,True,3.09,Humanities,,570.0,2.0,Consulting,Admit
183,Male,False,3.21,Humanities,White,620.0,2.0,Nonprofit/Gov,Waitlist
184,Male,True,2.84,Humanities,,610.0,3.0,Technology,
185,Female,True,3.43,STEM,,680.0,4.0,Consulting,Admit
186,Male,True,3.23,Business,,660.0,1.0,Other,
